first, You <@342466814728470532> mean the world to <@255879838987059201>
second, You <@342466814728470532> are the most beautiful women in the world and <@255879838987059201> is luckiest guy on planet earth
third, <@255879838987059201> would move mountains for you <@342466814728470532>
forth, <@255879838987059201> loves you <@342466814728470532> more than anything else in this world
fifth, You <@342466814728470532> are a sunshine of <@255879838987059201> life
sixth, You <@342466814728470532> make this world brighter
seventh, You <@342466814728470532> put smile on <@255879838987059201> face
eighth, <@255879838987059201> wants to be with you <@342466814728470532> forever and ever
ninth, <@342466814728470532> is only yours <@255879838987059201>
tenth, <@255879838987059201> wants me to remind you <@342466814728470532> that you are most wonderful baby in the world and he is super happy to be with you
eleventh, <@255879838987059201> wants me to remind you <@342466814728470532> that he loves you more than anything else and you will be together forever
twelth, <@342466814728470532> you are so beautiful and amazing that I would date you myself, but I am just a Bot and your heart is taken by <@255879838987059201> who would kill anyone for you
